From Date,To Date,PM2.5,PM10,SO2,NO2,Ozone,CO
07/05/18 0:00,07/05/18 1:00,13.42,None,23.46,18.92,32.36,1.3
07/05/18 1:00,07/05/18 2:00,15.42,None,20.84,16.84,31.89,1.27
07/05/18 2:00,07/05/18 3:00,9.62,None,21.62,15.3,32.17,1.25
07/05/18 3:00,07/05/18 4:00,14.05,None,23.09,14.05,33.89,1.24
07/05/18 4:00,07/05/18 5:00,16.25,None,22.86,14.62,33.7,1.24
07/05/18 5:00,07/05/18 6:00,13.34,None,18.74,38.45,28.69,1.39
07/05/18 6:00,07/05/18 7:00,13.05,None,19.67,31.75,28.29,1.36
07/05/18 7:00,07/05/18 8:00,19.98,None,22.02,44.3,29.42,1.61
07/05/18 8:00,07/05/18 9:00,19.65,None,22.55,44.25,33.52,1.55
07/05/18 9:00,07/05/18 10:00,21.1,None,24.64,21.79,35.84,1.3
07/05/18 10:00,07/05/18 11:00,25.37,None,24.76,16.09,27.69,1.24
07/05/18 11:00,07/05/18 12:00,7.76,None,24.75,15.7,31.48,1.23
07/05/18 12:00,07/05/18 13:00,12.66,None,24.71,15.19,34.72,1.22
07/05/18 13:00,07/05/18 14:00,19.95,None,21.76,14.52,32.42,1.17
07/05/18 14:00,07/05/18 15:00,12.32,None,21.94,15.32,30.72,1.19
07/05/18 15:00,07/05/18 16:00,13.77,None,22.39,15.67,31.74,1.19
07/05/18 16:00,07/05/18 17:00,7.66,None,21.3,18.28,38.28,1.23
07/05/18 17:00,07/05/18 18:00,37.07,None,23.9,24.03,44.12,1.24
07/05/18 18:00,07/05/18 19:00,42.15,None,24.42,24.65,44.68,1.26
07/05/18 19:00,07/05/18 20:00,20.4,None,18.89,24.54,41.35,1.3
07/05/18 20:00,07/05/18 21:00,25.08,None,19.28,27.17,37.72,1.4
07/05/18 21:00,07/05/18 22:00,27.38,None,19.45,27,34.36,1.39
07/05/18 22:00,07/05/18 23:00,22.36,None,16.16,24.6,33.46,1.31
07/05/18 23:00,08/05/18 0:00,18.73,None,19.17,20.63,32.65,1.27
08/05/18 0:00,08/05/18 1:00,4.72,None,23.74,20.78,32.18,1.26
08/05/18 1:00,08/05/18 2:00,13.69,None,18.59,26.7,31.48,1.28
08/05/18 2:00,08/05/18 3:00,10.86,None,21.44,29.95,28.59,1.34
08/05/18 3:00,08/05/18 4:00,13.17,None,19.54,43.66,27.66,1.42
08/05/18 4:00,08/05/18 5:00,11.92,None,22.36,43.13,29.02,1.5
08/05/18 5:00,08/05/18 6:00,19.66,None,18.07,45.31,29.1,1.53
08/05/18 6:00,08/05/18 7:00,21.8,None,21.67,52.19,31.04,1.78
08/05/18 7:00,08/05/18 8:00,21.88,None,19.88,62.85,30.46,1.82
08/05/18 8:00,08/05/18 9:00,19.25,None,22.35,51.31,31.08,1.63
08/05/18 9:00,08/05/18 10:00,22.89,None,23.76,37.26,39.85,1.43
08/05/18 10:00,08/05/18 11:00,15.95,None,20,23.66,40.94,1.3
08/05/18 11:00,08/05/18 12:00,28.13,65.01,18.46,21.97,36.09,1.27
08/05/18 12:00,08/05/18 13:00,16.17,57.7,17.64,19.54,35.62,1.23
08/05/18 13:00,08/05/18 14:00,10.38,43.03,17.91,16.31,33.86,1.19
08/05/18 14:00,08/05/18 15:00,16.66,48.35,19.37,16.51,29.43,1.19
08/05/18 15:00,08/05/18 16:00,18.48,43.9,17.9,19,31,1.19
08/05/18 16:00,08/05/18 17:00,17.74,60.26,16.43,20.43,35.95,1.23
08/05/18 17:00,08/05/18 18:00,18.85,35.19,16.89,23.12,46.16,1.22
08/05/18 18:00,08/05/18 19:00,31.38,None,14.96,25.32,42.96,1.24
08/05/18 19:00,08/05/18 20:00,22.2,None,15.37,25.56,44.17,1.28
08/05/18 20:00,08/05/18 21:00,22.58,None,20.8,27.45,45.64,1.35
08/05/18 21:00,08/05/18 22:00,22.79,None,21.69,23.82,46.61,1.31
08/05/18 22:00,08/05/18 23:00,13.9,36.93,21.93,23.13,38.94,1.3
08/05/18 23:00,09/05/18 0:00,12.57,43.82,20.88,21.98,34.96,1.26
09/05/18 0:00,09/05/18 1:00,9.85,14.61,18.88,20.87,33.68,1.23
09/05/18 1:00,09/05/18 2:00,12.2,37.35,16.88,24.25,32.66,1.23
09/05/18 2:00,09/05/18 3:00,11.91,31.34,18.01,24.46,31.95,1.23
09/05/18 3:00,09/05/18 4:00,14.69,42.5,19.76,27.51,28.93,1.25
09/05/18 4:00,09/05/18 5:00,9.89,40.12,20.79,36.18,26.79,1.31
09/05/18 5:00,09/05/18 6:00,13.18,53.13,21.85,41.81,28.64,1.53
09/05/18 6:00,09/05/18 7:00,14.29,86.51,16.23,48.31,30.56,1.82
09/05/18 7:00,09/05/18 8:00,27.55,60.7,17.3,59.2,31.08,1.82
09/05/18 8:00,09/05/18 9:00,23.05,56.11,20.4,54.74,31.24,1.65
09/05/18 9:00,09/05/18 10:00,27.71,0,13.06,56.55,38.6,1.68
09/05/18 10:00,09/05/18 11:00,29.64,None,15.76,27.82,47.61,1.36
09/05/18 11:00,09/05/18 12:00,26.89,80.66,15.79,23.62,50.22,1.31
09/05/18 12:00,09/05/18 13:00,7.46,63.58,19.05,18.75,40.11,1.26
09/05/18 13:00,09/05/18 14:00,9.57,49.95,20.34,16.91,32.58,1.2
09/05/18 14:00,09/05/18 15:00,21.06,66.28,18.87,17.64,33.73,1.18
09/05/18 15:00,09/05/18 16:00,17.89,59.45,20.38,16.85,34.74,1.17
09/05/18 16:00,09/05/18 17:00,23.55,73.9,17.82,19.62,36.59,1.2
09/05/18 17:00,09/05/18 18:00,27.53,95.86,17.67,20.12,43.23,1.17
09/05/18 18:00,09/05/18 19:00,29.89,82.31,17.4,21.32,44.41,1.21
09/05/18 19:00,09/05/18 20:00,24.09,89.93,21.14,22.88,43.03,1.23
09/05/18 20:00,09/05/18 21:00,14.02,78.03,17.53,22.76,37.9,1.29
09/05/18 21:00,09/05/18 22:00,20.42,78.52,22.2,25.21,34.4,1.36
09/05/18 22:00,09/05/18 23:00,16.23,80.96,18.06,24.35,34.15,1.35
09/05/18 23:00,10/05/18 0:00,7.62,59.65,18.48,22.18,33.56,1.29
10/05/18 0:00,10/05/18 1:00,26.06,57.36,17.5,20.28,32.74,1.25
10/05/18 1:00,10/05/18 2:00,17.86,60.28,20.82,19.09,32.94,1.22
10/05/18 2:00,10/05/18 3:00,12.45,50.49,22.04,23.51,31.41,1.23
10/05/18 3:00,10/05/18 4:00,15.19,74.8,19.76,22.29,30.99,1.23
10/05/18 4:00,10/05/18 5:00,9.29,36.52,18.01,25.7,31.59,1.29
10/05/18 5:00,10/05/18 6:00,21.63,53.53,19.7,40.42,29.93,1.38
10/05/18 6:00,10/05/18 7:00,20.91,84.96,18.39,42.67,30.39,1.59
10/05/18 7:00,10/05/18 8:00,25.69,78.26,17.66,32.21,31.5,1.48
10/05/18 8:00,10/05/18 9:00,21.95,56.21,18.91,21.35,36.14,1.27
10/05/18 9:00,10/05/18 10:00,22.21,12.74,16.47,20.88,42.45,1.27
10/05/18 10:00,10/05/18 11:00,24.98,None,19.03,19.66,34.23,1.25
10/05/18 11:00,10/05/18 12:00,25.63,71.19,16,24.02,38.74,1.39
10/05/18 12:00,10/05/18 13:00,40.69,111.49,18.08,23.18,40.19,1.55
10/05/18 13:00,10/05/18 14:00,26.23,64.02,18.54,16.46,36.48,1.24
10/05/18 14:00,10/05/18 15:00,12.3,49.37,16.01,16.55,34.77,1.21
10/05/18 15:00,10/05/18 16:00,19.36,None,16.6,18.07,38.98,1.25
10/05/18 16:00,10/05/18 17:00,26.21,41.96,22.41,21.78,46.35,1.23
10/05/18 17:00,10/05/18 18:00,36.71,None,28.95,22.05,56.05,1.19
10/05/18 18:00,10/05/18 19:00,39.49,103.81,29.65,20.74,53.51,1.2
10/05/18 19:00,10/05/18 20:00,31.71,95.7,29.64,21.42,47.87,1.24
10/05/18 20:00,10/05/18 21:00,23.2,82.67,29.61,23.59,36.73,1.3
10/05/18 21:00,10/05/18 22:00,20.02,100.28,29.51,22,33.38,1.33
10/05/18 22:00,10/05/18 23:00,14.36,62.29,29.49,22.95,33.38,1.32
10/05/18 23:00,11/05/18 0:00,17.07,46.34,29.48,20.45,35.97,1.26
11/05/18 0:00,11/05/18 1:00,5.24,39.25,29.45,18.16,36.38,1.24
11/05/18 1:00,11/05/18 2:00,14.77,44.26,29.4,16.3,36.33,1.2
11/05/18 2:00,11/05/18 3:00,12.34,45.43,29.38,16.81,35.86,1.22
11/05/18 3:00,11/05/18 4:00,12.86,58.24,29.33,21.39,34.47,1.22
11/05/18 4:00,11/05/18 5:00,21.19,89.36,29.31,39.61,30.47,1.31
11/05/18 5:00,11/05/18 6:00,19.06,69.96,29.31,34.46,33.87,1.28
11/05/18 6:00,11/05/18 7:00,24.62,97.5,29.26,42.47,32.81,1.34
11/05/18 7:00,11/05/18 8:00,19.93,15.36,29.23,60.38,31.4,1.66
11/05/18 8:00,11/05/18 9:00,23.26,None,27.99,29.08,42.57,1.33
11/05/18 9:00,11/05/18 10:00,21.46,72.86,24.79,23.98,44.28,1.29
11/05/18 10:00,11/05/18 11:00,25.11,27.77,19.58,20.16,43.99,1.23
11/05/18 11:00,11/05/18 12:00,32.82,76.25,16.79,18.77,31.04,1.2
11/05/18 12:00,11/05/18 13:00,23.02,40.49,12.24,18.24,31.61,1.22
11/05/18 13:00,11/05/18 14:00,None,None,None,None,None,None
11/05/18 14:00,11/05/18 15:00,27.23,None,17.51,18.61,33.92,1.2
11/05/18 15:00,11/05/18 16:00,25.1,57.64,18.62,22.83,32.15,1.16
11/05/18 16:00,11/05/18 17:00,16.92,75.24,22.25,21.51,35.8,1.19
11/05/18 17:00,11/05/18 18:00,44.19,121.2,24.68,19.28,39.13,1.18
11/05/18 18:00,11/05/18 19:00,40.77,118.69,24.57,21.83,42.98,1.18
11/05/18 19:00,11/05/18 20:00,31.34,116.93,24.53,24.81,48.47,1.23
11/05/18 20:00,11/05/18 21:00,29.3,106.55,24.55,29.17,41.48,1.28
11/05/18 21:00,11/05/18 22:00,23.54,94.52,24.46,25.94,34.61,1.27
11/05/18 22:00,11/05/18 23:00,30.99,93.95,24.47,27.14,31.97,1.29
11/05/18 23:00,12/05/18 0:00,23.76,105.5,24.43,23.63,32.68,1.24
12/05/18 0:00,12/05/18 1:00,30.2,121.76,24.4,21.33,31.74,1.22
12/05/18 1:00,12/05/18 2:00,25.38,76.01,24.41,17.09,33.81,1.19
12/05/18 2:00,12/05/18 3:00,25.9,77.89,24.38,15.62,33.97,1.17
12/05/18 3:00,12/05/18 4:00,19.21,71.05,24.37,16.65,34.7,1.18
12/05/18 4:00,12/05/18 5:00,18.82,79.32,24.36,22.11,32.06,1.2
12/05/18 5:00,12/05/18 6:00,22.16,69.74,24.32,21.78,31.8,1.19
12/05/18 6:00,12/05/18 7:00,20.24,88.82,24.33,22.95,31.86,1.25
12/05/18 7:00,12/05/18 8:00,24.71,101.78,24.35,20.53,33.49,1.22
12/05/18 8:00,12/05/18 9:00,21.48,47.81,24.33,18.71,34.26,1.2
12/05/18 9:00,12/05/18 10:00,26.43,68.62,28.11,16.5,36.96,1.19
12/05/18 10:00,12/05/18 11:00,42.91,81.3,30.8,15.63,30.68,1.18
12/05/18 11:00,12/05/18 12:00,36.41,102.73,32.4,17.26,30.16,1.18
12/05/18 12:00,12/05/18 13:00,35.88,65.68,32.64,16.15,27.76,1.17
12/05/18 13:00,12/05/18 14:00,27.61,75.94,30.05,14.84,28.91,1.16
12/05/18 14:00,12/05/18 15:00,28.05,83.3,27.28,15.34,27.53,1.15
12/05/18 15:00,12/05/18 16:00,46.46,101.37,22.65,17.83,30.18,1.18
12/05/18 16:00,12/05/18 17:00,59.45,106.83,22.28,21.01,34.42,1.2
12/05/18 17:00,12/05/18 18:00,56.44,112.74,25.96,19.5,40.42,1.18
12/05/18 18:00,12/05/18 19:00,35.05,103.03,23.86,22.33,41.08,1.23
12/05/18 19:00,12/05/18 20:00,34.52,105.2,27.54,23.99,40.9,1.29
12/05/18 20:00,12/05/18 21:00,28.42,115.85,27.49,28.37,35.73,1.42
12/05/18 21:00,12/05/18 22:00,29.43,125.31,22.27,26.74,35.16,1.43
12/05/18 22:00,12/05/18 23:00,29.42,102.76,20.11,28.18,31.52,1.39
12/05/18 23:00,13/05/18 0:00,20.5,97.41,25.87,23.73,30.57,1.29
13/05/18 0:00,13/05/18 1:00,34.68,86.89,23.43,29.83,28.18,1.28
13/05/18 1:00,13/05/18 2:00,22.04,78.68,21.34,24.22,29.6,1.22
13/05/18 2:00,13/05/18 3:00,16.19,83.64,26.61,28.56,28.51,1.24
13/05/18 3:00,13/05/18 4:00,19.12,64.79,22.41,38.59,26.76,1.36
13/05/18 4:00,13/05/18 5:00,19.45,76.02,20.68,42.31,27.78,1.54
13/05/18 5:00,13/05/18 6:00,35.79,135.67,18.55,61.3,35.42,1.59
13/05/18 6:00,13/05/18 7:00,35.72,124.89,19.51,55.96,30.81,1.71
13/05/18 7:00,13/05/18 8:00,28.3,74.36,18.92,51.43,30.26,1.73
13/05/18 8:00,13/05/18 9:00,31.69,69.91,16.12,48.88,30.23,1.59
13/05/18 9:00,13/05/18 10:00,33.44,87.65,17.99,54.21,33.11,1.6
13/05/18 10:00,13/05/18 11:00,38.68,103.01,12.15,44.02,43.46,1.48
